time,Greenland/Iceland,N.W.North-America,N.E.North-America,W.North-America,C.North-America,E.North-America,N.Central-America,S.Central-America,Caribbean,N.W.South-America,N.South-America,N.E.South-America,South-American-Monsoon,S.W.South-America,S.E.South-America,S.South-America,N.Europe,West&Central-Europe,E.Europe,Mediterranean,Sahara,Western-Africa,Central-Africa,N.Eastern-Africa,S.Eastern-Africa,W.Southern-Africa,E.Southern-Africa,Madagascar,Russian-Arctic,W.Siberia,E.Siberia,Russian-Far-East,W.C.Asia,E.C.Asia,Tibetan-Plateau,E.Asia,Arabian-Peninsula,S.Asia,S.E.Asia,N.Australia,C.Australia,E.Australia,S.Australia,New-Zealand,E.Antarctica,W.Antarctica,Arctic-Ocean,N.Pacific-Ocean,Equatorial.Pacific-Ocean,S.Pacific-Ocean,N.Atlantic-Ocean,Equatorial.Atlantic-Ocean,S.Atlantic-Ocean,Arabian-Sea,Bay-of-Bengal,Equatorial.Indic-Ocean,S.Indic-Ocean,Southern-Ocean
1850-12-31,0.03953327266713332,0.06490033243160026,0.11601236670392422,-0.013901811064109636,-0.09322663903295214,-0.012157551215335087,-0.0003800296197273035,0.05855546891244873,0.05702503300387614,0.05552480704689707,0.054526411257659856,0.01667667774800792,0.04162446292616024,-0.02355741863938238,-0.004547482421286726,0.010700161817531252,0.08969809476786282,0.16001767241108505,-0.02876940046728776,0.10415131423696376,0.01192719290746073,-0.008274428120974344,0.008380442816019672,-0.004384618481206057,0.024624051182225954,0.022180860580769377,0.04319609744783434,0.05026031544900023,-0.0795073290214145,-0.0001277021454860381,0.00583106399163497,0.07325514679459048,0.10301392269745506,0.06717050809422341,0.04921355153592275,0.04911505562846277,0.0645106583036418,0.029437206718433893,0.001963012633208168,0.00045389118172570967,-0.06591928476194148,-0.02565076890795794,-0.03137881710557726,0.01244536180546664,-0.04131621021296884,-0.07046062072977166,0.018956706592353482,0.02444028141151959,0.0374521127769211,0.010105328052299389,0.047335142438170476,0.019486110174017864,0.015677768527307234,0.0331745555754799,-0.008075256477757834,0.016322446227220656,0.016488134654417733,-0.006120501697329468
1851-12-31,0.1285101081508675,0.13373812250018374,0.12753428654248675,0.08472036260328629,0.22042459482725577,0.1590421217353497,0.0724630086164932,-0.002565402732719652,0.0340103225337086,0.017360046817453668,0.02920047544616971,0.012990667252332097,0.03756304264817601,0.006619600767572635,0.09105593649486646,-0.008482936697974263,0.05099823639705236,0.1535136283246745,0.1622637075318634,0.13160403295359593,0.048293756400056946,-0.008584000153348537,-0.01638463710929062,-0.009091367120387021,-0.031240404322701185,0.046521817071509486,0.027907454842094566,-0.007968558078599823,0.027578406736404645,0.1695060882856245,0.1269417781368388,-0.0539547285500929,0.09098340748627537,0.11015975914345219,0.019858846583734078,0.08597721160365164,0.0701706950180254,0.004572900601674894,0.026297623041385696,0.053926678042869734,0.0981986944443254,0.04375276213136261,0.08279951837551958,0.012102988612911017,0.04597750228868631,-0.1527923925209042,0.11118807430733868,0.050165149293313886,0.03102978784683612,-0.014833465410880955,0.05503665717252721,0.006293555700330219,0.026092182924878037,0.01800593277364629,0.011149382076815248,0.027928440208919086,0.02126264110775826,0.002357426141048055
1852-12-31,0.10509005624715172,0.11733088076541939,0.10333599214771036,0.04007134223783026,0.07843930142010276,0.10964018813448581,0.03688289532525224,0.036378773970936626,0.044422312433680305,0.028468524398311698,0.033071275027704315,0.02516396420522656,0.012387730953718345,0.05691920660271073,0.02174657200348018,0.07499355850840604,0.24509646290300652,0.12606350176337358,0.16611624648081533,0.055202718615236866,0.03492627706800584,0.02485545462325512,0.020749511343196265,0.03007236038030148,0.020319761793947365,0.04166623053709797,0.031600454883730686,0.03558086367721341,0.03110685461441051,0.10082311061795018,0.009272445370061933,-0.028196893631412718,0.025316300482908515,0.05976186406280035,0.11004306348198953,0.04611219498408326,0.004129292844597142,0.021527349782852256,0.0555217734279782,0.08209171674909277,0.04229045537757074,0.0596491079492105,0.013953110016905204,0.0414518393874108,-0.0770724888565735,0.02595536438263381,0.1775421433163992,0.020271847283370663,0.00816403052544753,0.030696404702006047,0.09553669810644291,0.019377873345051068,0.029129852419149997,-0.005945678140603399,0.06238002131290651,0.04865464353304547,0.039665425184051674,0.016275441596978173
1853-12-31,0.13909244451795624,-0.055235397200030525,0.13351184980236808,-0.0779210851554267,-0.022116677373552645,0.06907382604336017,0.08948015492393196,0.07019733590956996,0.06091676272630863,0.0319873451503672,0.015438233105366963,0.0016459184788792669,-0.008894255143558768,0.05127535352459225,0.06689591360968741,0.05736736587883424,0.19116452587628363,0.22818133620051095,0.22587958049582182,0.16338770736689168,0.13748050243955812,0.041227056113075235,0.03371546988239423,0.02401090633721069,0.03134902756597897,0.03847894078190026,0.020291120904591328,0.04744900181296361,0.2807999639731044,0.21472003687480748,0.275677906090801,0.2518290760216657,0.08350550702827104,0.18669107036653443,0.07779615279944363,0.1625889840972704,0.036829095061101484,0.07756641114577904,0.024800238205238377,0.07920788305588482,0.0846849228617156,0.14591436079759,0.08629239169523695,0.03595668466845118,0.038894368667269495,0.0243098350331817,-0.07116969996369245,0.03658968795916776,0.018395333548950586,0.03551448236925949,0.08014813143539917,0.004798560182103558,0.030199229105836185,0.04696965066172734,0.031195880193071533,0.027002726578650858,0.04348176378489303,0.005260764500865798
1854-12-31,0.16430654862901742,-0.08183461470139732,0.20687281473431055,0.036361867192436906,0.07103340275162495,0.04288486167489427,0.07466822830925383,0.051055425664299464,0.019425175738868216,0.06983673170944382,0.06772677116875313,-0.005165472711956546,0.06606837261542749,0.05946779367584061,0.08207822650073733,0.09638977704113338,0.21439960645882297,0.1749606348820993,0.09828870334305269,0.16520181065908035,0.07443726549119407,0.03199273010311743,0.01430750077659184,0.034580354465060956,0.013517114066155345,0.08431833536370459,0.052638353046645464,0.02330879229502854,-0.07423023717650667,-0.04284508942705099,0.07207210654409596,0.2347582018030644,0.07474822199689897,0.08593245867968032,0.13424251391504294,0.05030784865852321,0.089971807600956,0.09869000426005467,0.05837521499574147,0.07738838519968616,0.0177340231844002,0.05098713417948828,0.06371413273495313,0.09160079572143082,0.04212029022020818,-0.04414163048641454,0.08010631020679546,0.04928401420434494,0.03530661420188506,0.052653535297491776,0.07896887988732425,0.026113521704229342,0.02428341168415465,0.04410854301005572,0.07554931234842772,0.04542215977881446,0.03470319164591659,-0.011770207329791794
1855-12-31,0.11150830767504002,-0.11575242475882969,0.07038372495253747,0.13957566860782386,0.06895460557254529,0.1581461916084641,0.08028877319120929,0.06675039963645553,0.02414799748126699,0.10519775307996025,0.10427712598118657,0.05655294100534171,0.09500272288912696,0.07703900207193504,0.09857859759654235,0.08925705101334931,0.222592938398233,0.19407381052293168,0.06902590880848376,0.098545117422249,0.0926005893806034,0.11338558661234806,0.09534522836886361,0.0781726125042562,0.07124287606389898,0.09438362706783399,0.09480474156712512,0.07000811696566583,-0.2421806888570488,0.0667227866576284,0.12702306648560058,0.21221312174588305,0.11987463598640387,0.11312237316523369,0.07496562986912916,0.08479051396382689,0.10895010165550731,0.07293307735171561,0.0995734871883193,0.10196356762706385,0.11659965327547214,0.05871043280264731,0.048228799284184574,0.05776811059767963,0.051054086100985344,-0.11287572820638692,0.051585886714355246,0.05279209679887614,0.1271440235871773,0.05519517642572553,0.10158201689010017,0.043132712379611866,0.06243743642508911,0.06727740598262551,0.09253917352368561,0.0829690345414823,0.04915290105036846,0.0008840044316904788
1856-12-31,0.19350982387623408,0.1568665494562498,0.2545923344662781,0.0650442704333068,0.024365538987879656,0.05417630136256538,0.08444233937965823,0.0778755786823444,0.09081344537012961,0.06857908642927159,0.09894762430390136,0.08461443828343605,0.0661641306573375,0.08903742928971571,0.036966029327258704,0.07380186280651609,0.15403988958924927,0.15135102596555788,0.23265158930639,0.06325584179559562,0.07596795786781055,0.05849010630804528,0.07196421175462764,0.04686929410256511,0.07060770178085052,0.10206317324468196,0.08143770658725795,0.05284956572619583,-0.030449508039911317,0.24397442101061048,0.08006398573829407,0.11854664274734732,0.1574488823327063,0.07179765456186937,0.08587100962220161,0.024940298256973234,0.06551051696924079,0.033169342304378624,0.04983976584322521,0.07214829205749158,0.0769666315236082,0.06560148243126929,0.008851361814074863,0.055287304330379844,-0.024987085013467226,-0.046449577493218604,0.029193817278869216,0.08333892390024134,0.04824111692581996,0.03470123822401263,0.11448474102036081,0.05788455462221246,0.04373338122962975,0.06402530043392474,0.0345304757081042,0.06366136455187978,0.024672008842497335,-0.03535085275813361
1857-12-31,0.20875474774070482,0.0031107839438223664,0.05811672516719572,0.10230234950487554,0.07867489065322485,0.02008879173652951,0.07426029120376909,0.03690597129849721,0.04203485011871471,0.047247072422932426,0.04516138812369704,0.024282406175202487,0.028541366387545973,0.049001187075465746,0.02991583659283986,0.04604269534705895,0.20977796448106373,0.22592796242389093,0.005003604049116579,0.1939458180097373,0.11149102844174776,0.04711195183265598,0.01810150381563969,0.023061142869065528,0.007271844536922158,-0.005218515643238601,0.050614020897426594,0.049301422797219864,0.08808645392847363,-0.07706902712085617,0.05235579738203734,0.19732119790668362,0.08994078602327463,0.10725763579509708,0.09190486596502634,0.06280406757970311,0.10778100784764508,-0.0009058537819324001,0.015418658353312867,-0.01576992805002046,0.054272592645004746,0.06685533557539806,-0.0034578356617449746,0.0020966302624669747,0.06811764094084558,-0.25678051708650806,0.11225341425525479,0.10698149957454811,0.060994589603529846,0.04352390947109998,0.06536311058353467,0.01967991628615435,0.027505214348915584,0.04654005142546416,0.021706905734750814,0.022566141914122276,-0.006855112710758587,0.010215885712262616
1858-12-31,0.12663820063873105,0.13769108497622332,0.10945720802018448,0.08477874595613061,0.06102620373627476,0.055341460508262885,0.08683473685670817,0.058339799447514225,0.05818328512524235,0.08352826956482651,0.10920354904017517,0.03510865899823453,0.09223450687393821,0.07468340640655659,0.061341732924794654,0.06561210687326915,-0.012623611763839243,0.07978177579620546,0.22973633855555914,0.13399129683705982,0.08917555975629685,0.0517056668983664,0.03853172631745077,0.020779583209512828,0.029076583345462266,0.05140806544279555,0.03150799595201553,0.055417901616454386,0.013639491835404877,0.07343082677717849,-0.00378213185937256,0.15421069283110325,0.20468913792660112,0.144540333694055,0.1272420828418067,-0.001425825541894019,0.07821605307890755,0.0828583627462649,0.05395045057065072,0.04736558279254787,0.04756167568295017,0.10779461596230917,-0.016734156334890175,0.012077286966653495,0.1199259841897165,0.03066820607179786,0.031504287365501066,0.045030352554976796,0.08002806570074006,0.04294441589099879,0.09381946967502813,0.05397255851058694,0.04383664441272421,0.06191562846062491,0.06323868441640555,0.05395556557401212,0.02952613488064358,-0.0019700931815303645
1859-12-31,0.0911666380053821,0.04020907425369001,0.09440901963553777,0.10218788334495553,0.1888138464283097,0.13387155335510154,0.12335848089899108,0.07705518788035012,0.06474697403669465,0.10505065497731067,0.1155990501966749,0.07379418964712517,0.08739742087416245,0.05370147912358832,0.03344860863010375,0.007920588507137727,0.01115979695135693,0.012896351624517943,-0.008062255969883329,0.08924270097632654,0.12246645203410608,0.08621262421709065,0.08248039781069402,0.07559610445332893,0.07986028195443833,0.03161358836341392,0.03082597615363001,0.017789119160669768,0.01964170580030405,0.130000315914874,0.11030231046319629,0.11406144558774102,0.23774206313312876,0.1727053582439171,0.12051630193678638,0.10167953172032024,0.07001495800819996,0.09253273896389709,0.06854910852658776,0.05891239427338306,0.04032413866014024,0.007147589249991637,0.010182499305005607,-0.0034304192186497377,-0.016154467871320854,-0.1926333799164525,0.06750271646043503,0.043641674932965564,0.10959965949285705,0.04557652997593685,0.09615955656590136,0.041859532356700334,0.022314779103973,0.04356840666938647,0.07794193203060988,0.06785745549096808,0.031789496016484495,0.008705153888154439
